name,price,avgpoint,category,location,num_reviews,dish_categories,time_open,dieu_hoa,bong_da,wifi,cuisines,min_price,max_price,avg_price,menu,time1,time2,start_time1,end_time1,start_time2,end_time2
Trà Sữa Tocotoco - AEON Mall Long Biên,25000 - 60000,5.7,Café/Dessert,"Tầng 3, AEON Mall Long Biên, 27 Cổ Linh, P. Long Biên, Quận Long Biên, Hà Nội",20,"Trà, Thức uống, Trà sữa, Sữa", 09:00 - 21:00,1,0,1,trà thức uống trà sữa sữa combo trà sữa mua tặng tặng bình trọn combo ăn vặt k trà sữa trân châu hoàng gia trà sữa ba anh em trà sữa panda sữa tươi trân châu đường hổ trà sữa kim cương đen okinawa trà sữa hạnh phúc trà dâu tằm pha lê tuyết,25000,60000,42500.0,"COMBO TRÀ SỮA MUA 2 TẶNG 1-120,000|Tặng Bình Trọn 9-1|Combo Ăn vặt 88k-88,000|Trà Sữa Trân Châu Hoàng Gia-39,100|Trà Sữa Ba Anh Em-40,800|Trà Sữa Panda-40,800|Sữa Tươi Trân Châu Đường Hổ-44,200|Trà Sữa Kim Cương Đen Okinawa-39,100|Trà Sữa Hạnh Phúc-39,100|Trà Dâu Tằm Pha Lê Tuyết-35,700", 09:00 - 21:00,,09:00:00,21:00:00,09:00:00,
Vua Chả Cá - Lê Đức Thọ,50000 - 500000,6.4,Nhà hàng,"12A1 Lê Đức Thọ, P. Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",4,"Hải sản, Chè, Cá, Salad, Đặc sản vùng", 10:30 - 23:00,1,0,1,hải sản chè cá salad đặc sản vùng combo chả cá combo đặc biệt combo chả cá combo đặc biệt combo chả cá chả cá lăng đặc biệt lòng cá lòng cá lăng đặc biệt chả cá chè bưởi đặc biệt,50000,500000,275000.0,"COMBO 1 Chả Cá-438,000|COMBO 1 Đặc Biệt-609,000|COMBO 2 Chả Cá-951,000|COMBO 2 Đặc Biệt-994,000|COMBO 4 Chả Cá -1,245,000|Chả Cá Lăng Đặc Biệt-181,000|Lòng Cá-138,000|Lòng Cá Lăng Đặc Biệt-160,000|Chả Cá -149,000|Chè Bưởi Đặc Biệt-27,000", 10:30 - 23:00,,10:30:00,23:00:00,10:30:00,
Bảo Minh - Đặc Sản Bánh Cốm Hàng Than,50000 - 500000,7.2,Tiệm bánh,"12 Hàng Than, Quận Ba Đình, Hà Nội",16,"Chè, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Nem, Bánh tằm", 08:00 - 21:00,1,0,1,chè bánh kẹo ăn vặt ăn nhẹ nem bánh tằm mứt dừa sợi nhỏ g mứt gừng nướng mật ong g mứt dừa sợi to g mứt lạc túi g mứt lục giác g mứt quai xách g mứt lạc hộp g hộp mứt quai xách g hộp mứt mica g hộp mứt mica g,50000,500000,275000.0,"Mứt dừa sợi nhỏ 200g-59,000|Mứt gừng nướng mật ong 180g-82,000|Mứt dừa sợi to 200g-53,000|Mứt lạc túi 200g-46,000|Mứt lục giác 200g-57,000|Mứt quai xách 170g-50,000|Mứt lạc hộp 200g-46,000|Hộp mứt quai xách 250g-71,000|Hộp mứt mica 350g-159,000|Hộp mứt mica 500g-225,000", 08:00 - 21:00,,08:00:00,21:00:00,08:00:00,
Mì Cay Seoul - Chùa Láng,35000 - 50000,3.4,Quán ăn,"120 Chùa Láng, P. Láng Thượng, Quận Đống Đa, Hà Nội",1,"Bún, Mì, Món nước, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên", 09:00 - 21:00,1,0,1,bún mì món nước ăn vặt ăn nhẹ nem cá bò viên mì kim chi bò mỹ mỳ kim chi bò mỳ kim chi hải sản mỳ kim chi thập cẩm mỳ kim chi sườn sụn mỳ kim chi xúc xích mì kim chi bạch tuộc mì kim chi gà mỳ kim chi cá mỳ tương đen,35000,50000,42500.0,"Mì Kim Chi Bò Mỹ-52,000|Mỳ Kim Chi Bò-49,000|Mỳ Kim Chi Hải Sản-53,000|Mỳ Kim Chi Thập Cẩm-63,000|Mỳ Kim Chi Sườn Sụn-52,000|Mỳ kim chi xúc xích-42,000|Mì Kim Chi Bạch Tuộc-53,000|Mì Kim Chi Gà-52,000|Mỳ kim chi cá-49,000|Mỳ Tương Đen-49,000", 09:00 - 21:00,,09:00:00,21:00:00,09:00:00,
Pepperonis Delivery Outlet - Nguyễn Văn Cừ,50000 - 200000,6.2,Nhà hàng,"374 Nguyễn Văn Cừ, P. Bồ Đề, Quận Long Biên, Hà Nội",7,Pizza & Pasta, 10:45 - 20:30,1,0,1,piZa pasta daily deal piZa daily deal hawaIan size s bolognaise size s seafOd maryland size s chEsy tuna size s bolognaise size l hawaIan size l Bq bEf size l sausage supreme size l,50000,200000,125000.0,"DAILY DEAL (PIZZA #5-12)-21,600|DAILY DEAL (#1-4)-21,600|#2 Hawaiian Size S-165,000|#5 Bolognaise Size S-176,000|#6 Seafood Maryland Size S-176,000|#7 Cheesy Tuna Size S-176,000|#5 Bolognaise Size L-253,000|#2 Hawaiian Size L-220,000|#3 BBQ Beef Size L-220,000|#4 Sausage Supreme Size L-220,000", 10:45 - 20:30,,10:45:00,20:30:00,10:45:00,
PHÒ MÃ - Đội Cấn,50000 - 55000,9.3,Café/Dessert,"4/8 Ngõ 379 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội",2,"Trà chanh, Sinh tố - Nước ép, Thức uống, Trà sữa", 08:00 - 22:00,0,0,0,trà chanh sinh tố nước ép thức uống trà sữa phò mã trà sữa ô long kem chEse tráng sĩ trà sữa ô long nhài chín tầng mây không áp dụng mua tặng giai nhân trà sữa ô long cúc tơ hồng trà trái cây quận chúa sữa tươi đường đen combo như ý tráng sĩ tầng mây tiết kiệm hoàng bào gấu phò mã tiết kiệm k gấu bằng ly tướng quân,50000,55000,52500.0,"Phò mã (Trà sữa ô long kem cheese)-55,000|Tráng sĩ (Trà sữa ô long nhài)-55,000|Chín Tầng Mây ( không áp dụng mua 1 tặng 1)-65,000|Giai nhân (Trà sữa ô long cúc)-50,000|Tơ hồng (Trà trái cây)-55,000|Quận chúa (Sữa tươi đường đen)-50,000|Combo NHƯ Ý (Tráng sĩ, 9 Tầng Mây) - Tiết kiệm 21.000-99,000|HOÀNG BÀO-55,000|GẤU PHÒ MÃ-Tiết kiệm 15k (1 gấu bằng 2 ly)-85,000|TƯỚNG QUÂN-65,000", 08:00 - 22:00,,08:00:00,22:00:00,08:00:00,
Master Tea 美茶 - Lò Đúc,26000 - 50000,7.0,Café/Dessert,"168 Lò Đúc, P. Phạm Đình Hồ, Quận Hai Bà Trưng, Hà Nội",221,"Trà, Trà chanh, Sinh tố - Nước ép, Thức uống, Trà sữa, Sữa", 08:00 - 22:30,1,0,1,trà trà chanh sinh tố nước ép thức uống trà sữa sữa sữa tươi trân châu đường đen m trà đào cam sả trà sữa ú ụ toPing size l trà sữa ú ụ toPing size m trà đào cam sả trân châu trắng đóng chai trà sữa trân châu trắng đóng chai trà cam bưởi trân châu trắng đóng chai trà việt quất trân châu trắng đóng chai trà xoài trân châu trắng đóng chai trà kem chEse trân châu trắng đóng chai,26000,50000,38000.0,"Sữa Tươi Trân Châu Đường Đen (M)-41,250|Trà Đào Cam Sả-33,750|Trà Sữa Ú Ụ Topping Size L-52,500|Trà Sữa Ú Ụ Topping Size M-45,000|Trà Đào Cam Sả Trân Châu Trắng ĐÓNG CHAI-48,750|Trà Sữa Trân Châu Trắng ĐÓNG CHAI-48,750|Trà Cam Bưởi Trân Châu Trắng ĐÓNG CHAI-48,750|Trà Việt Quất Trân Châu Trắng ĐÓNG CHAI-48,750|Trà Xoài Trân Châu Trắng ĐÓNG CHAI-48,750|Trà  Kem Cheese Trân Châu Trắng ĐÓNG CHAI-48,750", 08:00 - 22:30,,08:00:00,22:30:00,08:00:00,
Gà Rán Kuccu - Đỗ Quang,50000 - 165000,6.8,Quán ăn,"23 Ngõ 26 Đỗ Quang, P. Trung Hòa, Quận Cầu Giấy, Hà Nội",77,"Gà rán, Ăn vặt - Ăn nhẹ, Nem, Fastfood - Thức ăn nhanh", 10:00 - 14:00 | 17:00 - 23:00,1,0,1,gà rán ăn vặt ăn nhẹ nem fastfOd thức ăn nhanh salad kuCu gà chiên mềm miếng gà chiên xào cay gà chiên xào ngọt gà rang muối gà nửa con tẩm sốt miếng gà nửa con chiên miếng gà một con nửa chiên nửa tẩm sốt miếng gà một con chiên miếng gà một con tẩm sốt miếng,50000,165000,107500.0,"Salad Kuccu-35,000|Gà Chiên Mềm (2 Miếng)-28,000|Gà Chiên Xào Cay-195,000|Gà Chiên Xào Ngọt-195,000|Gà Rang Muối-195,000|Gà Nửa Con Tẩm Sốt (4 Miếng)-145,000|Gà Nửa Con Chiên (4 Miếng)-135,000|Gà Một Con Nửa Chiên - Nửa Tẩm Sốt (9 Miếng-300,000|Gà Một Con Chiên (9 Miếng)-285,000|Gà Một Con Tẩm Sốt (9 Miếng)-310,000", 10:00 - 14:00 , 17:00 - 23:00,10:00:00,14:00:00,10:00:00,23:00:00
Cơm Cháy Chà Bông Tý Chuột - Shop Online - Nguyễn Cao,65000 - 100000,10.0,Shop Online,"27 Ngõ 31 Nguyễn Cao, P. Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",13,"Cơm Cháy, Ăn vặt - Ăn nhẹ, Cơm", 08:00 - 22:00,0,0,0,cơm cháy ăn vặt ăn nhẹ cơm cơm cháy chà bông vị truyền thống gr cơm cháy chà bông không cay g cơm cháy chà bông không cay gr cơm cháy chà bông vị truyền thống g lạp xưởng tôm gr lạp xưởng tươi gr dâu tây sấy gr,65000,100000,82500.0,"Cơm Cháy Chà Bông (Vị Truyền Thống) 500gr-130,000|Cơm Cháy Chà Bông ( Không Cay )500g-130,000|Cơm cháy chà bông  ( Không Cay )250gr-70,000|Cơm Cháy Chà Bông ( Vị Truyền Thống ) 250g-70,000|Lạp Xưởng Tôm (500gr) -140,000|Lạp Xưởng Tươi (500gr) -140,000|Dâu Tây Sấy 500gr-200,000", 08:00 - 22:00,,08:00:00,22:00:00,08:00:00,
Ăn Vặt Tôn Thất Thiệp - Ốc Luộc & Chân Gà Chiên Giòn,5000 - 28000,6.8,Ăn vặt/vỉa hè,"71 Tôn Thất Thiệp, P. Điện Biên, Quận Ba Đình, Hà Nội",22,"Thịt Gà, Hải sản, Nghêu - Sò - Ốc , Ăn vặt - Ăn nhẹ, Nem", 16:00 - 22:00,0,0,0,thịt gà hải sản nghêu sò ốc ăn vặt ăn nhẹ nem chân gà chiên nem chua rán cánh gà chiên giòn,5000,28000,16500.0,"Chân Gà Chiên-12,000|Nem Chua Rán-6,000|Cánh Gà Chiên Giòn-22,000", 16:00 - 22:00,,16:00:00,22:00:00,16:00:00,
Lẩu Gà Lá É É É Thắng Béo,40000 - 150000,8.0,Quán ăn,"111 E7 TT. Bách Khoa, Tạ Quang Bửu, P. Bách Khoa, Quận Hai Bà Trưng, Hà Nội",7,"Lẩu, Ăn vặt - Ăn nhẹ", 10:00 - 23:00,0,0,0,lẩu ăn vặt ăn nhẹ lá é thêm lẩu gà lá é nồi nhỏ nửa con gà lẩu gà lá é nồi to c gà nấm thêm ngô chiên sụn gà rang muối cánh gà chiên mắm khoai lang kén chân gà chiên mắm sụn gà chiên mắm,40000,150000,95000.0,"Lá É Thêm-40,000|Lẩu Gà Lá É (Nồi nhỏ nửa con gà)-320,000|Lẩu Gà Lá É (Nồi To 1c Gà)-500,000|Nấm thêm-25,000|Ngô Chiên-45,000|Sụn Gà Rang Muối-95,000|Cánh Gà Chiên Mắm-105,000|Khoai Lang Kén-45,000|Chân Gà Chiên Mắm-105,000|Sụn Gà Chiên Mắm-95,000", 10:00 - 23:00,,10:00:00,23:00:00,10:00:00,
Cô Ngà - Bánh Mì Nem Khoai,20000 - 30000,8.0,Quán ăn,"6 Ngõ 28 Hương Viên, P. Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",19,"Bánh mì, Bún, Mì, Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 06:00 - 19:30,0,0,0,bánh mì bún mì bánh kẹo ăn vặt ăn nhẹ bánh mỳ nem khoai coca cola coca cola lẻ bánh mỳ nem ngô coca cola bánh mỳ nem khoai coca cola bánh mỳ nem ngô coca cola coca cola lẻ coca cola chỉ đ bánh mỳ nem khoai coca cola coca cola lẻ bánh mỳ nem ngô coca cola,20000,30000,25000.0,"Bánh Mỳ Nem Khoai + Coca-Cola-45,000|Coca-Cola lẻ-13,500|Bánh Mỳ Nem Ngô + Coca-Cola -45,000|2 Bánh Mỳ Nem Khoai + 2 Coca-Cola-90,000|2 Bánh Mỳ Nem Ngô +2 Coca-Cola -90,000|02 Coca-Cola lẻ-27,000|Coca-Cola chỉ 1Đ-15,000|Bánh Mỳ Nem Khoai + Coca-Cola-45,000|Coca-Cola lẻ-13,500|Bánh Mỳ Nem Ngô + Coca-Cola -45,000", 06:00 - 19:30,,06:00:00,19:30:00,06:00:00,
Gà rán và Mì Ý - Jollibee - Tô Hiệu,15000 - 44000,6.5,Nhà hàng,"303 - 305 Tô Hiệu, Quận Cầu Giấy, Hà Nội",77,"Thịt Gà, Gà rán, Ăn vặt - Ăn nhẹ, Nem, Fastfood - Thức ăn nhanh", 08:00 - 22:00,1,0,1,thịt gà gà rán ăn vặt ăn nhẹ nem fastfOd thức ăn nhanh gà giòn vui vẻ mì ý sốt bò bằm khoai tây chiên vừa nước mỳ ý vừa miếng gà giòn vui vẻ miếng gà không xương khoai gà giòn mì ý cơm gà giòn khoai vừa bánh xoài đào gà giòn vui vẻ mì ý sốt bò bằm khoai tây chiên vừa nước miếng gà giòn vui vẻ miếng gà giòn vui vẻ khoai tây chiên vừa nước ngọt lớn cơm gà giòn vui vẻ súp bí đỏ nước ngọt miếng gà giòn vui vẻ khoai tây chiên vừa nước ngọt lớn miếng gà giòn vui vẻ nước ngọt lớn miếng gà giòn vui vẻ khoai tây chiên lớn nước ngọt lớn,15000,44000,29500.0,"3 Gà Giòn Vui Vẻ + 1 Mì Ý Sốt Bò Bằm + 1 Khoai tây chiên vừa + 2 Nước…-140,000|2 Mỳ ý vừa + 2 Miếng gà giòn vui vẻ + 2 Miếng gà không xương + 1 Khoai…-199,000|02 Gà giòn + 02 Mì Ý + 2 Cơm Gà giòn + 02 Khoai vừa + 2 Bánh xoài đào +…-310,000|3 Gà Giòn Vui Vẻ + 1 Mì Ý Sốt Bò Bằm + 1 Khoai tây chiên vừa + 2 Nước…-140,000|1 Miếng Gà Giòn Vui Vẻ-30,000|2 Miếng Gà Giòn Vui Vẻ + 1 Khoai tây chiên vừa + 1 Nước ngọt lớn-85,000|1 Cơm Gà Giòn Vui Vẻ + 1 Súp bí đỏ + 1 Nước ngọt-60,000|1 Miếng Gà Giòn Vui Vẻ + 1 Khoai tây chiên vừa + 1 Nước ngọt lớn-55,000|2 Miếng Gà Giòn Vui Vẻ + 1 Nước ngọt lớn-75,000|2 Miếng Gà Giòn Vui Vẻ + 1 Khoai tây chiên lớn + 1 Nước ngọt lớn-95,000", 08:00 - 22:00,,08:00:00,22:00:00,08:00:00,
Rộp Rộp - Cơm Cháy & Khô Gà Lá Chanh Online,50000 - 150000,7.9,Shop Online,"2C Ngõ 29/72 Khương Hạ, P. Khương Đình, Quận Thanh Xuân, Hà Nội",32,"Cơm Cháy, Thịt Bò, Ăn vặt - Ăn nhẹ, Cơm, Nem", 00:00 - 23:59,0,0,0,cơm cháy thịt bò ăn vặt ăn nhẹ cơm nem cơm cháy chà bông rộp rộp trứng muối kg cơm cháy chà bông siêu ruốc gr bún bò trộn nam bộ khô gà lá chanh vị cay khô gà lá chanh vị không cay khô gà bơ tỏi khô gà lá chanh vị cay g khô gà lá chanh vị không cay g khô gà lá chanh vị cay kg khô gà lá chanh vị không cay kg,50000,150000,100000.0,"Cơm Cháy Chà Bông  Rộp Rộp Trứng Muối 1 Kg-270,000|Cơm Cháy Chà Bông Siêu Ruốc 250gr-70,000|Bún bò trộn Nam Bộ-45,000|Khô Gà Lá Chanh Vị Cay-85,000|Khô Gà Lá Chanh Vị Không Cay-85,000|Khô Gà Bơ Tỏi-85,000|Khô Gà Lá Chanh Vị Cay (500g)-170,000|Khô Gà Lá Chanh Vị Không Cay (500g)-170,000|Khô Gà Lá Chanh Vị Cay 1kg-320,000|Khô Gà Lá Chanh Vị Không Cay 1kg-320,000", 00:00 - 23:59,,00:00:00,23:59:00,00:00:00,
"Nhi - Bún, Miến & Bánh Đa Cá Hải Phòng",35000 - 45000,8.2,Quán ăn,"86 Ngọc Lâm, Quận Long Biên, Hà Nội",1,"Bún, Món nước, Miến", 06:00 - 22:00,0,0,0,bún món nước miến bún cá bún cá đầy đủ bún cá chả bún tôm bún cá tôm cá rán gr,35000,45000,40000.0,"Bún Cá-55,000|Bún Cá Đầy Đủ-57,000|Bún Cá Chả-50,000|Bún Tôm-50,000|Bún Cá Tôm-50,000|Cá Rán 100gr-55,000", 06:00 - 22:00,,06:00:00,22:00:00,06:00:00,
Phở Gà Đặc Biệt - Hàng Điếu,30000 - 66000,7.4,Quán ăn,"1 Hàng Điếu, Quận Hoàn Kiếm, Hà Nội",22,"Thịt Gà, Phở", 05:30 - 13:30,0,0,0,thịt gà phở phở gà phở gà đặc biệt phở tái gà phở gà trứng phở bò phở chín gà,30000,66000,48000.0,"Phở Gà-50,000|Phở Gà Đặc Biệt-65,000|Phở Tái Gà-70,000|Phở Gà 2 Trứng-55,000|Phở Bò-45,000|Phở Chín Gà-65,000", 05:30 - 13:30,,05:30:00,13:30:00,05:30:00,
Quán Cơm Ngon - Hoàng Ngọc Phách,30000 - 55000,4.6,Quán ăn,"103 C9 Hoàng Ngọc Phách, P. Láng Hạ, Quận Đống Đa, Hà Nội",6,Cơm, 10:00 - 21:00,0,0,0,cơm cơm gạo lứt vàng đùi gà quay cơm thịt ba chỉ rang xém cạnh cơm sườn gạo lứt gạo trắng khoai lang cơm phiLe gà nướng cơm gạo trắng gạo lức bò kho tiêu cá trắm kho truyền thống cơm gạo lức chân giò luộc cơm trắng gạo lức bò kho tiêu cơm cá thu sana mắm tép trưng thịt chả lá lốt mắm tép trưng thịt cơm sườn rim mắm tép trưng thịt,30000,55000,42500.0,"Cơm Gạo Lứt vàng , đùi gà quay.-50,000|Cơm Thịt Ba Chỉ Rang Xém Cạnh-50,000|Cơm Sườn Gạo Lứt ( gạo trắng) khoai lang.-50,000|Cơm phille gà nướng-50,000|Cơm gạo trắng ( gạo lức) , bò kho tiêu , cá trắm kho truyền thống.-80,000|Cơm gạo lức chân giò luộc-50,000|Cơm trắng ( gạo lức ) Bò kho tiêu .-50,000|Cơm cá thu sana , mắm tép trưng thịt .-50,000|Chả lá lốt mắm tép trưng thịt-50,000|Cơm Sườn Rim + Mắm Tép  Trưng Thịt-70,000", 10:00 - 21:00,,10:00:00,21:00:00,10:00:00,
Mì Hàn Quốc - Láng Hạ,100000 - 220000,7.4,Nhà hàng,"Ngõ 8 Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội",36,Mì, 08:30 - 22:30,0,0,1,mì mì đen canh sườn bò cơm trộn thập cẩm miến lạnh kimbap canh kim chi tokboKi cơm bát nhỏ há cảo hàn quốc ốc đậu phụ hầm cay,100000,220000,160000.0,"Mì đen-110,000|Canh sườn bò-168,000|Cơm trộn thập cẩm-147,000|Miến lạnh-168,000|Kimbap-100,000|Canh kim chi-147,000|Tokbokki-150,000|Cơm bát nhỏ-15,000|Há cảo Hàn Quốc-80,000|Ốc đậu phụ hầm cay-147,000", 08:30 - 22:30,,08:30:00,22:30:00,08:30:00,
Bún Chả - Mai Hắc Đế,40000 - 50000,6.9,Quán ăn,"114 Mai Hắc Đế, Quận Hai Bà Trưng, Hà Nội",12,"Bún, Món nước", 09:00 - 21:00,0,0,0,bún món nước bún chả chan,40000,50000,45000.0,"Bún Chả Chan-40,000", 09:00 - 21:00,,09:00:00,21:00:00,09:00:00,
Bánh Cuốn Nóng Gia Truyền - Vũ Phạm Hàm,25000 - 30000,5.4,Quán ăn,"136 Vũ Phạm Hàm, P. Yên Hòa, Quận Cầu Giấy, Hà Nội",2,"Bánh ướt, Bún, Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 06:00 - 17:00,0,0,0,bánh ướt bún bánh kẹo ăn vặt ăn nhẹ bánh cuốn nóng bún chả,25000,30000,27500.0,"Bánh Cuốn Nóng-30,000|Bún Chả-30,000", 06:00 - 17:00,,06:00:00,17:00:00,06:00:00,
Xôi Các Loại - Đường Láng,5000 - 20000,7.1,Ăn vặt/vỉa hè,"Ngõ 470 Đường Láng, P. Láng Hạ, Quận Đống Đa, Hà Nội",6,"Xôi, Ăn vặt - Ăn nhẹ", 06:00 - 09:00,0,0,0,xôi ăn vặt ăn nhẹ xôi xéo xôi gấc xôi ngô xôi lạc,5000,20000,12500.0,"Xôi xéo-15,000|Xôi gấc-15,000|Xôi ngô-15,000|Xôi lạc-15,000", 06:00 - 09:00,,06:00:00,09:00:00,06:00:00,
Mì Tay To - Bà Triệu,80000 - 350000,7.3,Quán ăn,"38B Bà Triệu, P. Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",10,"Cơm Chiên, Bún, Mì, Món nước, Cơm", 10:00 - 22:00,0,0,1,cơm chiên bún mì món nước cơm set set set set set set set set set cơm rang tôm,80000,350000,215000.0,"Set 6-350,000|Set 5-330,000|Set 7-350,000|SET 8-370,000|SET 9-370,000|Set 3-750,000|Set 1-950,000|Set 4-750,000|Set 2-1,000,000|Cơm Rang Tôm-100,000", 10:00 - 22:00,,10:00:00,22:00:00,10:00:00,
Hậu Béo - Đặc Sản Gà - Yên Phụ,20000 - 80000,7.4,Ăn vặt/vỉa hè,"69 Yên Phụ, P. Yên Phụ, Quận Tây Hồ, Hà Nội",8,"Thịt Gà, Đậu hũ, Ăn vặt - Ăn nhẹ, Nem", 10:00 - 23:00,0,0,0,thịt gà đậu hũ ăn vặt ăn nhẹ nem chân gà chiên mắm to chân gà rang muối to chân gà xả ớt to gỏi xoài chân gà rút xương cánh gà chiên mắm cái cánh gà rang muối cái cánh gà rang me cái đùi gà chiên mắm đùi gà rang muối tỏi gà bó xôi,20000,80000,50000.0,"Chân Gà Chiên Mắm to-70,000|Chân Gà Rang Muối to-70,000|CHÂN GÀ XẢ ỚT to-70,000|GỎI XOÀI CHÂN GÀ RÚT XƯƠNG-90,000|Cánh Gà Chiên Mắm (2 cái)-65,000|Cánh Gà Rang Muối (2 cái)-65,000|CÁNH GÀ Rang Me (2 cái)-65,000|Đùi Gà Chiên Mắm-50,000|ĐÙI GÀ Rang Muối-50,000|TỎI GÀ BÓ XÔI-60,000", 10:00 - 23:00,,10:00:00,23:00:00,10:00:00,
Cơm Chay Thiên Tâm - Đường Láng,50000 - 200000,6.6,Ăn chay,"10 Ngách 1 Ngõ 814 Đường Láng (10 Ngách 2 Ngõ 850 Đường Láng), P. Láng Thượng, Quận Đống Đa, Hà Nội",1,"Cơm Tấm, Bún, Miến, Món chay, Cơm văn phòng, Cơm", 10:00 - 14:00 | 18:00 - 21:30,0,0,0,cơm tấm bún miến món chay cơm văn phòng cơm cơm xuất cơm văn phòng cơm văn phòng cơm sườn áp chảo chay cơm văn phòng cơm rang thập cẩm bún thịt nướng chay bún bò nam bộ chay,50000,200000,125000.0,"Cơm Xuất -35,000|Cơm Văn Phòng-40,000|Cơm Văn Phòng-45,000|Cơm Sườn Áp Chảo Chay-50,000|Cơm Văn Phòng-50,000|Cơm Rang Thập Cẩm-45,000|Bún Thịt Nướng Chay-40,000|Bún Bò Nam Bộ Chay-45,000", 10:00 - 14:00 , 18:00 - 21:30,10:00:00,14:00:00,10:00:00,21:30:00
YiHeTang - Đệ Nhất Trà Sữa Nướng - Mỹ Đình,30000 - 80000,8.3,Café/Dessert,"Đơn Nguyên 4 KTX Mỹ Đình, Nguyễn Cơ Thạch, Quận Nam Từ Liêm, Hà Nội",24,"Trà, Thức uống, Trà sữa", 09:00 - 23:00,1,0,1,trà thức uống trà sữa đơn hàng gặp vấn đề trà sữa thiên thảo lục vị yihetang sữa tươi thiên thảo lục vị yihetang combo trà sữa nướng yihetang trà sữa nướng yihetang lục trà sữa nướng yihetang hồng trà sữa trân châu lục trà sữa trân châu sữa tươi trân châu đường đen matcha đậu đỏ yihetang,30000,80000,55000.0,"Đơn hàng gặp vấn đề-1|Trà Sữa Thiên Thảo Lục Vị Yihetang-55,000|Sữa Tươi Thiên Thảo Lục Vị Yihetang-55,000|Combo 4 Trà sữa nướng Yihetang -152,000|Trà Sữa Nướng Yihetang-38,000|Lục Trà Sữa Nướng YiHeTang-38,000|Hồng Trà Sữa Trân Châu-44,000|Lục Trà Sữa Trân Châu-44,000|Sữa Tươi Trân Châu Đường Đen-48,000|Matcha Đậu Đỏ Yihetang-55,000", 09:00 - 23:00,,09:00:00,23:00:00,09:00:00,
Ngoc's Freshsauce - Long Biên - Shop Online,110000 - 390000,8.6,Shop Online,"133 Hoàng Như Tiếp, P. Bồ Đề, Quận Long Biên, Hà Nội",1,Cơm, 09:30 - 19:30,0,0,0,cơm sườn nướng sốt Bq châu âu combo sườn nướng Bq châu âu sườn nướng sốt Bq châu á combo sườn nướng Bq vị châu á đôi cánh gà khúc giữa nướng sốt Bq combo sườn nướng châu á cánh gà nướng sốt Bq mỳ ý xốt thịt bò xay set đơn số mỳ ý xốt kem thịt xông khói,110000,390000,250000.0,"Sườn Nướng Sốt BBQ Châu Âu-429,000|Combo Sườn Nướng BBQ Châu Âu-528,000|Sườn Nướng Sốt BBQ Châu Á-429,000|Combo sườn nướng BBQ vị Châu Á đôi-308,000|Cánh Gà khúc giữa nướng Sốt BBQ-429,000|Combo Sườn Nướng Châu Á-528,000|Cánh Gà Nướng Sốt BBQ-330,000|Mỳ ý xốt thịt bò xay-106,000|Set đơn số 1-140,000|Mỳ Ý xốt kem thịt xông khói-116,000", 09:30 - 19:30,,09:30:00,19:30:00,09:30:00,
Miến & Bánh Đa Cua - Bạch Mai,20000 - 30000,6.0,Quán ăn,"379 Bạch Mai, P. Bạch Mai, Quận Hai Bà Trưng, Hà Nội",1,"Bánh Đa Cua, Món nước, Bánh canh, Miến", 17:00 - 22:30,0,0,0,bánh đa cua món nước bánh canh miến bánh đa cua trộn bánh đa cua nước miến cua trộn miến cua nước,20000,30000,25000.0,"Bánh Đa Cua Trộn-30,000|Bánh Đa Cua Nước-25,000|Miến Cua Trộn-30,000|Miến Cua Nước-25,000", 17:00 - 22:30,,17:00:00,22:30:00,17:00:00,
